url_origem,regra_wcag_id,titulo_erro,seletor_css,snippet_html
https://ufal.br,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-3 > div.noticia > div.data > div.pretty_date,"<div class=""pretty_date"">"
https://ufal.br,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-3 > div.noticia > div.data > a.titulo,"<a class=""titulo"" href=""https://noticias.ufal.br/estudante/noticias/2026/5/desafio-de-logistica-re…"">"
https://ufal.br,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,ul.noticia-list > li > div.noticia > span.data,"<span class=""data"">"
https://ufal.br,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-3 > div.noticia > div.data > a.titulo,"<a class=""titulo"" href=""https://noticias.ufal.br/transparencia/noticias/2026/5/especial-mes-africa…"">"
https://ufal.br,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.container > div.row > div.col-12 > h2.titulo,"<h2 class=""titulo"">"
https://ufal.br,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,ul.lista-seta > li > div.item > p.descricao,"<p class=""descricao"">"
https://ufal.br,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.row > div.col-md-4 > div.meses > span.ano,"<span class=""ano"">"
https://ufal.br,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,ul > li.cursos > span > a,"<a href=""#cursos"">"
https://ufal.br,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,ul > li.localizacao > span > a,"<a href=""#ufalMapas"">"
https://ufal.br/sobre,link-in-text-block,Links rely on color to be distinguishable.,div#content-core > p.discreet > span > a,"<a href=""https://ufal.br/contact-info"">"
https://ufal.br/sobre,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,section#center-column > article#content > div#content-core > p.description,"<p class=""description"">"
https://ufal.br/sobre,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/transparencia/relatorios/gestao/2011/normas-legais/DNT2011…"" class=""contenttype-file state-"">"
https://ufal.br/sobre,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/transparencia/relatorios/gestao/2010/normas-legais/DNT2010…"" class=""contenttype-file state-"">"
https://ufal.br/sobre,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/transparencia/documentos/tecnologia-da-informacao/desfazim…"" class=""contenttype-file state-"">"
https://ufal.br/sobre,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-event,"<a href=""https://ufal.br/servidor/capacitacao/eventos/anos-anteriores/2021/i-semest…"" class=""contenttype-event state-published"">"
https://ufal.br/sobre,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/transparencia/relatorios/gestao/2011/normas-legais/DNT2010…"" class=""contenttype-file state-"">"
https://ufal.br/sobre,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/transparencia/relatorios/gestao/2012/normas-legais/DNT2012…"" class=""contenttype-file state-"">"
https://ufal.br/noticias,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.container > ol.breadcrumb > li.breadcrumb-item > a,"<a href=""https://noticias.ufal.br"">"
https://ufal.br/servicos,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/transparencia/contabilidade/demonstrativos/2019/demonstrat…"" class=""contenttype-file state-"">"
https://ufal.br/servicos,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/servidor/gestao-do-conhecimento/aquisicoes/catalogo-de-mat…"" class=""contenttype-file state-"">"
https://ufal.br/servicos,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/transparencia/licitacoes/planos-de-contratacoes-anuais-pca…"" class=""contenttype-file state-"">"
https://ufal.br/servicos,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/servidor/gestao-do-conhecimento/aquisicoes/auxilio-as-comi…"" class=""contenttype-file state-"">"
https://ufal.br/servicos,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-document,"<a href=""https://ufal.br/ouvidoria/conselhos-de-usuarios"" class=""contenttype-document state-published"">"
https://ufal.br/servicos,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,section#center-column > article#content > div#content-core > p.description,"<p class=""description"">"
https://ufal.br/servicos,link-in-text-block,Links rely on color to be distinguishable.,div#content-core > p.discreet > span > a,"<a href=""https://ufal.br/contact-info"">"
https://ufal.br/acessibilidade,link-in-text-block,Links rely on color to be distinguishable.,div#content-core > p.discreet > span > a,"<a href=""https://ufal.br/contact-info"">"
https://ufal.br/acessibilidade,link-in-text-block,Links rely on color to be distinguishable.,nav > ul#page-not-found-list > li > a.contenttype-document,"<a href=""https://ufal.br/estudante/acessibilidade/nucleo-de-acessibilidade-da-ufal"" class=""contenttype-document state-published"">"
https://ufal.br/acessibilidade,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,section#center-column > article#content > div#content-core > p.description,"<p class=""description"">"
https://ufal.br/acessibilidade,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/estudante/assistencia-estudantil/publicacoes/instrucoes-no…"" class=""contenttype-file state-"">"
https://ufal.br/acessibilidade,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/estudante/assistencia-estudantil/publicacoes/2021-cartilha…"" class=""contenttype-file state-"">"
https://ufal.br/acessibilidade,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/transparencia/licitacoes/pregoes-eletronicos/2021/pe-01-20…"" class=""contenttype-file state-"">"
https://ufal.br/acessibilidade,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/transparencia/licitacoes/pregoes-eletronicos/2018/pe-srp-0…"" class=""contenttype-file state-"">"
https://ufal.br/acessibilidade,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/estudante/graduacao/avaliacao/manuais/avaliacao/ies_recred…"" class=""contenttype-file state-"">"
https://ufal.br/acessibilidade,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-document,"<a href=""https://ufal.br/ufal/institucional/pro-reitorias/proest/estudantil-proest"" class=""contenttype-document state-published"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/institucional/identificacao-da-ufal"">"
