antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'accesskeys'}),"frozenset({'target-size', 'link-name'})",0.06930693069306931,0.21534653465346534,0.05198019801980198,0.7499999999999999,3.482758620689655,1.0,0.0370551906675816,3.1386138613861374,0.7659574468085106,0.2234042553191489,0.6813880126182964,0.4956896551724137
"frozenset({'target-size', 'link-name'})",frozenset({'accesskeys'}),0.21534653465346534,0.06930693069306931,0.05198019801980198,0.24137931034482757,3.482758620689655,1.0,0.0370551906675816,1.2268226822682269,0.9085173501577285,0.2234042553191489,0.18488628026412324,0.4956896551724137
frozenset({'frame-title'}),"frozenset({'link-name', 'color-contrast'})",0.10643564356435643,0.27722772277227725,0.09653465346534654,0.9069767441860466,3.271594684385382,1.0,0.06702774237819822,7.769801980198024,0.7770438241352369,0.3362068965517241,0.8712965912711055,0.6275955149501662
"frozenset({'link-name', 'color-contrast'})",frozenset({'frame-title'}),0.27722772277227725,0.10643564356435643,0.09653465346534654,0.3482142857142857,3.271594684385382,1.0,0.06702774237819822,1.3709480537094805,0.9606603442219882,0.3362068965517241,0.27057776018994856,0.6275955149501662
"frozenset({'button-name', 'heading-order'})","frozenset({'link-name', 'image-alt'})",0.0891089108910891,0.19554455445544555,0.054455445544554455,0.6111111111111112,3.1251758087201127,1.0,0.03703068326634644,2.068599717114569,0.7465415019762845,0.2365591397849462,0.5165811965811966,0.44479606188466947
"frozenset({'link-name', 'image-alt'})","frozenset({'button-name', 'heading-order'})",0.19554455445544555,0.0891089108910891,0.054455445544554455,0.27848101265822783,3.1251758087201127,1.0,0.03703068326634644,1.2624630884141046,0.8453146853146853,0.2365591397849462,0.2078976334617501,0.44479606188466947
"frozenset({'accesskeys', 'link-name'})",frozenset({'target-size'}),0.054455445544554455,0.3069306930693069,0.05198019801980198,0.9545454545454545,3.1099706744868034,1.0,0.03526615037741398,15.247524752475222,0.7175268012964349,0.16799999999999998,0.9344155844155845,0.5619501466275659
frozenset({'target-size'}),"frozenset({'accesskeys', 'link-name'})",0.3069306930693069,0.054455445544554455,0.05198019801980198,0.1693548387096774,3.1099706744868034,1.0,0.03526615037741398,1.1383254830337401,0.9789115646258504,0.16799999999999998,0.12151663570342848,0.5619501466275659
"frozenset({'button-name', 'heading-order'})",frozenset({'image-alt'}),0.0891089108910891,0.20297029702970298,0.054455445544554455,0.6111111111111112,3.010840108401084,1.0,0.036368983432996764,2.04950495049505,0.7332015810276679,0.22916666666666663,0.5120772946859904,0.4397018970189702
"frozenset({'button-name', 'heading-order', 'link-name'})",frozenset({'image-alt'}),0.0891089108910891,0.20297029702970298,0.054455445544554455,0.6111111111111112,3.010840108401084,1.0,0.036368983432996764,2.04950495049505,0.7332015810276679,0.22916666666666663,0.5120772946859904,0.4397018970189702
frozenset({'image-alt'}),"frozenset({'button-name', 'heading-order', 'link-name'})",0.20297029702970298,0.0891089108910891,0.054455445544554455,0.26829268292682923,3.0108401084010836,1.0,0.036368983432996764,1.244884488448845,0.8379446640316205,0.22916666666666663,0.196712619300106,0.4397018970189702
frozenset({'image-alt'}),"frozenset({'button-name', 'heading-order'})",0.20297029702970298,0.0891089108910891,0.054455445544554455,0.26829268292682923,3.0108401084010836,1.0,0.036368983432996764,1.244884488448845,0.8379446640316205,0.22916666666666663,0.196712619300106,0.4397018970189702
frozenset({'image-alt'}),"frozenset({'heading-order', 'link-name'})",0.20297029702970298,0.16831683168316833,0.10148514851485149,0.5,2.9705882352941173,1.0,0.06732183119302029,1.6633663366336633,0.8322981366459626,0.3761467889908257,0.3988095238095238,0.5514705882352942
"frozenset({'button-name', 'image-alt'})","frozenset({'heading-order', 'link-name'})",0.10891089108910891,0.16831683168316833,0.054455445544554455,0.5,2.9705882352941173,1.0,0.03612390942064503,1.6633663366336633,0.7444444444444442,0.2444444444444444,0.3988095238095238,0.4117647058823529
"frozenset({'heading-order', 'link-name'})","frozenset({'button-name', 'image-alt'})",0.16831683168316833,0.10891089108910891,0.054455445544554455,0.32352941176470584,2.9705882352941173,1.0,0.03612390942064503,1.3172621609987085,0.7976190476190474,0.2444444444444444,0.24084967320261436,0.4117647058823529
"frozenset({'heading-order', 'link-name'})",frozenset({'image-alt'}),0.16831683168316833,0.20297029702970298,0.10148514851485149,0.6029411764705882,2.9705882352941173,1.0,0.06732183119302029,2.0073340667400075,0.7976190476190476,0.3761467889908257,0.501826817683595,0.5514705882352942
frozenset({'html-has-lang'}),frozenset({'landmark-one-main'}),0.13366336633663367,0.3712871287128713,0.13366336633663367,1.0,2.6933333333333334,1.0,0.0840358788354083,inf,0.7257142857142859,0.36000000000000004,1.0,0.68
frozenset({'landmark-one-main'}),frozenset({'html-has-lang'}),0.3712871287128713,0.13366336633663367,0.13366336633663367,0.36000000000000004,2.6933333333333334,1.0,0.0840358788354083,1.3536509900990101,1.0000000000000002,0.36000000000000004,0.2612571428571429,0.68
"frozenset({'link-name', 'landmark-one-main'})",frozenset({'image-alt'}),0.18316831683168316,0.20297029702970298,0.09900990099009901,0.5405405405405406,2.6631509558338826,1.0,0.06183217331634154,1.7347117064647644,0.7645454545454545,0.3448275862068965,0.4235353365788148,0.5141727092946605
