seletor_css,count
div.search-custom__input-group > ul#search-list > li.navitem > a,9528
div.mapa-list > ul > li > a,560
html,166
div.elementor-widget-wrap > div.elementor-element > div.elementor-widget-container > a,112
div.wrapper-login > div.header-sign-in > div.cta-wrapper > button.br-sign-in,82
div.popular-posts-wrapper > div.post > div.post-image > a,73
div.elementor-element > div.elementor-widget-container > div.elementor-icon-wrapper > a.elementor-icon,67
div.description > ul.content-itens > li > a,65
div.col > div.social-network > div.social-network-icons > a.external,60
li.plain > ul.submenu > li > a.state-published,59
div.col-md-4 > address.campus-address > p > a,54
div.swiper-wrapper > div.swiper-slide > a.info-card > img,54
div > ul > li.orgao-barra > a,54
div.top-left > ul.social > li > a,50
div#footer-dados > div > div.redes-sociais > a,50
